utc	jobid	arm	host	slots_run	step	step_time_med40	early_med	ratio	verdict
2026-09-17T01:10:00Z	1718598	pure	p4-r05-n1	17	1220	9.07	3.20	2.83	CONTENDED
2026-09-17T01:30:00Z	1720770	pure	p2-r20-n4	2	1300	3.26	3.26	1.00	CLEAN
2026-09-17T00:00:00Z	1718594	sandwich	p5-r20-n1	1	310	3.16	6.30	0.50	CLEAN
2026-09-17T06:20:00Z	1718594	sandwich	p5-r20-n1	5	6210	7.96	3.13	2.54	CONTENDED
2026-09-17T06:30:00Z	1730874	sandwich	p5-r04-n1	1	6200	-	-	-	CLEAN
2026-09-17T01:45:00Z	1719489	probe2n_norep	p1-r18-n3	-	120	1.38	1.38	1.00	CLEAN
2026-09-17T01:45:00Z	1719489	probe2n_norep	p2-r16-n1	-	120	1.38	1.38	1.00	CLEAN
2026-09-17T01:15:00Z	1719508	probe2n_outrep	p1-r15-n4	-	0	-	-	-	FABRIC_FAULT
2026-09-17T01:15:00Z	1719508	probe2n_outrep	p2-r22-n1	-	0	-	-	-	FABRIC_FAULT
2026-09-17T02:00:00Z	1719544	probe2n_outrep2	p4-r25-n4	-	120	1.44	3.03	0.48	CLEAN
2026-09-17T02:00:00Z	1719544	probe2n_outrep2	p3-r03-n1	-	120	1.44	3.03	0.48	CLEAN
2026-09-17T02:14:00Z	1720214	probe2n_wfix	p2-r15-n4	-	0	-	-	-	FABRIC_FAULT
2026-09-17T02:14:00Z	1720214	probe2n_wfix	p3-r10-n3	-	0	-	-	-	FABRIC_FAULT
2026-09-15T00:00:00Z	-	gptmoe_all_isoP	p4-r10-n4	-	0	-	-	-	FABRIC_FAULT
2026-09-15T00:00:00Z	-	gptmoe_all_isoP	p4-r10-n4	-	0	-	-	-	FABRIC_FAULT
2026-09-17T06:43:11Z	1730874	sandwich	p5-r04-n1	1	6290	3.1450	3.1450	1.00	CLEAN
2026-09-17T06:43:11Z	1720770	pure	p2-r20-n4	2	6580	3.2595	3.2847	0.99	CLEAN
